MonitoringSite,obsYear,species_full,species_code,28-may,29-may,30-may,31-may,01-jun,02-jun,03-jun,04-jun,05-jun,06-jun,07-jun,08-jun,09-jun,10-jun,11-jun,12-jun,13-jun,14-jun,15-jun,16-jun,17-jun,18-jun,19-jun,20-jun,21-jun,22-jun,23-jun,24-jun,25-jun,26-jun,27-jun,28-jun,29-jun,30-jun,01-jul,02-jul,03-jul,04-jul,05-jul,06-jul,07-jul,08-jul,09-jul,10-jul,11-jul,12-jul,13-jul,14-jul,15-jul,16-jul,17-jul,18-jul,19-jul,20-jul,21-jul,22-jul,23-jul,24-jul,25-jul,26-jul,27-jul,28-jul,29-jul,30-jul,31-jul,01-aug,02-aug,03-aug
East Bay Mainland,1997,Glaucous Gull,GLGU,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Greater White-fronted Goose,GWFG,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Herring Gull,HERG,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Horned Lark,HOLA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,King Eider,KIEI,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Lapland Longspur,LALO,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Lemming,lemming,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Long-tailed Duck,LTDU,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Long-tailed Jaeger,LTJA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Northern Pintail,NOPI,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Parasitic Jaeger,PAJA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Pacific Loon,PALO,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Peregrine Falcon,PEFA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Pomarine Jaeger,POJA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Polar Bear,polar bear,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Red Phalarope,REPH,,,,,,,,,,,,,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Ringed Seal,ringed seal,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Rough-legged Hawk,RLHA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Red-throated Loon,RTLO,,,,,,,,,,,,,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Ruddy Turnstone,RUTU,,,,,,,,,,,,,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Sabine's Gull,SAGU,,,,,,,,,,,,,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Seal sp,seal sp,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Short-eared Owl,SEOW,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Semipalmated Plover,SEPL,,,,,,,,,,,,,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Snow Bunting,SNBU,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Snow Goose,SNGO,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Thayer's Gull,THGU,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Tundra Swan,TUSW,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,Whimbrel,WHIM,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,White-rumped Sandpiper,WRSA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1997,White-throated Sparrow,WTSP,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
East Bay Mainland,1998,American Golden-Plover,AMGP,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Arctic Fox,arctic fox,,,,,,,,,,,,,,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Arctic Tern,ARTE,,,,,,,,,,,,,,0,0,0,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,,,,,,,,,,,,,
East Bay Mainland,1998,Black-bellied Plover,BBPL,,,,,,,,,,,,,,0,0,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,
East Bay Mainland,1998,Brant,BRAN,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,,,,,,,,,,,,,
East Bay Mainland,1998,Canada Goose,CANG,,,,,,,,,,,,,,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,,,,,,,,,,,,,
East Bay Mainland,1998,Caribou,caribou,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,,,,,,,,,,,,,
East Bay Mainland,1998,Common Eider,COEI,,,,,,,,,,,,,,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Common Raven,CORA,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Dunlin,DUNL,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Pacific/Arctic Loon,GAAR,,,,,,,,,,,,,,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,,,,,,,,,,,,,
East Bay Mainland,1998,Glaucous Gull,GLGU,,,,,,,,,,,,,,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Greater White-fronted Goose,GWFG,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Herring Gull,HERG,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,
East Bay Mainland,1998,Horned Lark,HOLA,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,King Eider,KIEI,,,,,,,,,,,,,,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,
East Bay Mainland,1998,Lapland Longspur,LALO,,,,,,,,,,,,,,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,
East Bay Mainland,1998,Least Sandpiper,LESA,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Long-tailed Duck,LTDU,,,,,,,,,,,,,,0,0,0,-1,0,0,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Northern Pintail,NOPI,,,,,,,,,,,,,,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Parasitic Jaeger,PAJA,,,,,,,,,,,,,,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,,,,,,,,,,,,,
East Bay Mainland,1998,Peregrine Falcon,PEFA,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Red Knot,REKN,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Red Phalarope,REPH,,,,,,,,,,,,,,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Red-throated Loon,RTLO,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,
East Bay Mainland,1998,Ruddy Turnstone,RUTU,,,,,,,,,,,,,,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,,,,,,,,,,,,,
East Bay Mainland,1998,Sabine's Gull,SAGU,,,,,,,,,,,,,,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,,,,,,,,,,,,,
East Bay Mainland,1998,Semipalmated Plover,SEPL,,,,,,,,,,,,,,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Semipalmated Sandpiper,SESA,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,Snow Bunting,SNBU,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,
East Bay Mainland,1998,Snow Goose,SNGO,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,
East Bay Mainland,1998,Tundra Swan,TUSW,,,,,,,,,,,,,,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
East Bay Mainland,1998,White-rumped Sandpiper,WRSA,,,,,,,,,,,,,,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,,,,,,,,,,,,,
East Bay Mainland,1999,American Golden-Plover,AMGP,,,,,,,,,0,0,0,,3,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
East Bay Mainland,1999,American Pipit,AMPI,,,,,,,,,-1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
East Bay Mainland,1999,Arctic Fox,arctic fox,,,,,,,,,0,0,0,,1,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,,0,0,0,,0,0,1,0,0,0,0,,,,,,,,,,,,,,
East Bay Mainland,1999,Arctic Tern,ARTE,,,,,,,,,0,0,0,,0,,0,0,0,23,6,-1,20,-1,-1,-1,-1,-1,12,4,6,-1,-1,-1,36,8,-1,-1,-1,-1,-1,-1,-1,-1,,12,12,0,,6,14,6,8,-1,12,0,,,,,,,,,,,,,,
East Bay Mainland,1999,American Tree Sparrow,ATSP,,,,,,,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
East Bay Mainland,1999,Baird's Sandpiper,BASA,,,,,,,,,0,0,2,,2,,1,0,0,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
East Bay Mainland,1999,Black-bellied Plover,BBPL,,,,,,,,,0,0,3,,3,,6,1,-1,10,6,3,2,6,-1,-1,5,3,3,0,4,4,6,5,0,2,8,3,2,-1,-1,2,2,2,,2,4,2,,4,3,2,2,0,2,0,,,,,,,,,,,,,,
East Bay Mainland,1999,Beluga,beluga,,,,,,,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,-1,0,-1,-1,0,0,0,0,0,0,,,,,,,,,,,,,,
East Bay Mainland,1999,Brant,BRAN,,,,,,,,,28,0,58,,-1,,18,-1,-1,-1,-1,-1,63,40,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,5,,50,50,25,,12,4,8,13,4,12,0,,,,,,,,,,,,,,
East Bay Mainland,1999,Canada Goose,CANG,,,,,,,,,42,0,30,,-1,,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,,3,6,0,,2,0,0,3,0,0,0,,,,,,,,,,,,,,
East Bay Mainland,1999,Caribou,caribou,,,,,,,,,-1,0,-1,,10,,3,1,30,0,12,3,2,1,-1,1,5,5,3,0,0,5,1,3,3,3,10,3,7,3,2,6,5,3,,2,0,0,,11,6,0,7,12,4,0,,,,,,,,,,,,,,
East Bay Mainland,1999,Common Eider,COEI,,,,,,,,,0,0,22,,0,,0,0,0,2,14,0,8,0,4,0,0,4,0,0,1,9,18,7,0,0,5,0,4,0,0,2,2,0,,0,0,0,,5,4,15,15,0,0,0,,,,,,,,,,,,,,
East Bay Mainland,1999,Common Raven,CORA,,,,,,,,,0,0,0,,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
East Bay Mainland,1999,Dunlin,DUNL,,,,,,,,,20,0,10,,35,,41,3,0,9,14,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,,0,1,0,,5,3,0,0,2,2,0,,,,,,,,,,,,,,
East Bay Mainland,1999,Glaucous Gull,GLGU,,,,,,,,,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,1,0,,,,,,,,,,,,,,
East Bay Mainland,1999,Greater White-fronted Goose,GWFG,,,,,,,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
